Downloaded from http://www.GuruFocus.com on 2018-06-7 at 22:27(CST), Thursday
Filename: XKLS:3069.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

XKLS:3069,Mega First Corp Bhd,Malaysia,Utilities,Utilities - Regulated,Utilities - Regulated ElectricUtilities - Regulated Electric
Key Statistics:
"Price","3.51"
"Market Cap (Million)","1366.431"
"Shares Outstanding (Million)","390.41"
"PE Ratio","9.22"
"PB Ratio","1.07"
"PS Ratio","1.18"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","4.90","1.30","10.80"
"EBITDA  Growth (%)","6.50","3.00","0.20"
"Free Cash Flow Growth (%)","4.90","-3.10","-78.00"
"Book Value Growth (%)","11.40","11.40","13.00"

30 Year Financials of XKLS:3069 - Mega First Corp Bhd

All Numbers are in Millions except per share data and ratios; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","198812","198912","199012","199112","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","TTM/current",",","198803","198806","198809","198812","198903","198906","198909","198912","199003","199006","199009","199012","199103","199106","199109","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.736","1.724","1.844","1.737","1.996","2.352","2.478","2.471","2.639","2.304","1.673","2.180","2.195","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.457","0.533","0.485","0.521","0.502","0.609","0.585","0.655","0.585","0.630","0.596","0.666","0.526","0.619","0.585","0.739","0.662","0.702","0.645","0.627","0.608","0.579","0.570","0.624","0.855","0.633","0.564","-0.096","0.699","0.798","0.717","-0.019"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.463","0.464","0.384","0.547","0.582","0.667","0.635","0.742","0.742","0.743","0.555","0.596","0.484","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.068","0.141","0.122","0.154","0.139","0.162","0.145","0.117","0.118","0.114","0.135","0.154","0.123","0.174","0.166","0.156","0.128","0.164","0.172","0.152","0.155","0.139","0.182","0.142","0.166","0.158","0.138","-0.002","0.145","0.162","0.137","0.040"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.372","0.375","0.297","0.461","0.485","0.563","0.521","0.621","0.616","0.599","0.406","0.483","0.484","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.068","0.141","0.122","0.154","0.139","0.162","0.145","0.117","0.118","0.114","0.135","0.154","0.123","0.174","0.166","0.156","0.128","0.164","0.172","0.152","0.155","0.139","0.182","0.142","0.166","0.158","0.138","-0.002","0.145","0.162","0.137","0.040"
"Earnings per Share (Diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.167","0.185","0.149","0.245","0.249","0.289","0.226","0.291","0.274","0.291","0.342","0.334","0.332","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.036","0.085","0.054","0.074","0.083","0.097","0.078","0.030","0.056","0.050","0.069","0.051","0.063","0.090","0.091","0.048","0.061","0.069","0.088","0.056","0.084","0.069","0.104","0.045","0.093","0.085","0.094","0.084","0.094","0.094","0.096","0.048"
"EPS without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.167","0.185","0.149","0.245","0.249","0.289","0.226","0.291","0.274","0.291","0.271","0.324","0.322","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.036","0.085","0.054","0.074","0.083","0.097","0.078","0.030","0.056","0.050","0.069","0.051","0.063","0.090","0.091","0.048","0.061","0.069","0.088","0.056","0.084","0.069","0.104","0.045","0.093","0.085","0.094","0.013","0.094","0.094","0.096","0.038"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.174","0.131","0.239","0.000","0.199","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.134","0.174","0.264","0.233","0.226","0.131","0.115","0.136","0.196","0.239","0.202","0.256","0.199","0.000"
"Free Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.189","0.266","0.171","0.278","0.184","0.301","0.359","0.285","0.384","-0.250","-0.165","-0.551","-0.537","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.024","0.103","-0.013","0.070","-0.003","0.061","0.092","0.151","-0.043","0.265","0.036","0.100","0.089","0.132","0.013","0.052","0.089","0.139","0.012","0.144","0.086","0.091","-0.136","-0.280","-0.016","-0.020","0.185","-0.289","-0.260","-0.016","0.300","-0.561"
"Operating Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.261","0.337","0.200","0.409","0.372","0.396","0.492","0.485","0.613","0.516","0.348","0.278","0.269","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.111","0.145","0.020","0.096","0.035","0.067","0.102","0.193","-0.015","0.290","0.055","0.162","0.104","0.166","0.045","0.171","0.125","0.194","0.051","0.242","0.148","0.138","0.035","0.214","0.105","0.133","0.042","0.095","-0.016","0.156","-0.039","0.168"
"Dividends per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.031","0.044","0.048","0.048","0.061","0.075","0.079","0.062","0.066","0.070","0.070","0.050","0.050","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.044","0.018","0.000","0.000","0.048","0.026","0.000","0.000","0.053","0.026","0.000","0.000","0.036","0.026","0.000","0.000","0.039","0.026","0.000","0.000","0.044","0.026","0.000","0.000","0.050","0.020","0.000","0.000","0.030","0.020","0.000"
